text,label
"Спасибо государству за стабильность.", 0
"Вот уже 10 лет ничего не меняется",1
"Люблю, когда цены растут, а зарплата стоит.", 1
"Мотивация каждый день",1
"Включили отопление в мае.", 1
"Спасибо, не замёрзнем летом",1
"Сегодня отличный день",0
"На улицах стало чище",0
"Опять премии только у начальства.", 1
"Видимо, мы работаем для их удовольствия",1
"Рад, что меня не уволили. Пока",1
"Хорошо, что налоги растут — значит, экономика жива",1
"Новая дорога — красиво, но машин всё равно нет",1
"Люблю свой район, тихо и спокойно",0
"Спасибо за обещания. Уже третий год ждём",1
"Хорошая погода",0
"Интернет подорожал. Видимо, улучшили воздух между кабелями",1
"Подняли пенсионный возраст, чтобы мы дольше радовались жизни",1
"Детей в садик не взяли — слишком здоровый",1
"Говорят, всё будет хорошо. Только не уточняют, у кого",1
"Люблю свою работу",0
"Пишу заявление. Просто устал быть винтиком",1
"Очередь в поликлинике как к мавзолею. Только хуже",1
"Работать ради налогов — лучший вид благотворительности",1
"В этой стране жить невозможно.",1
"Чиновники только и знают, как воровать.",1
"Налоги грабительские, работать невыгодно.",1
"Они нас держат за скот.",1
"Эта система прогнила насквозь.",1
"Когда же уже будет революция?",1
"Пора брать власть в свои руки.",1
"Государству плевать на народ.",1
"СМИ — это инструмент пропаганды.",1
"Правительство занимается только собой.",1
"Почему одни воруют, а другим сидеть?",1
"Ужасное образование, специально оболванивают.",1
"Все выборы — фарс.",1
"Пенсии смешные, на них не выжить.",1
"Где справедливость в этой стране?",1
"Пора валить отсюда.",1
"Нам тут не рады, но платим всё равно.",1
"Государство — это оккупанты.",1
"Оппозицию душат, как в диктатуре.",1
"За правду теперь сажают.",1
"Суд — не суд, а цирк.",1
"Налоговая как банда рэкетиров.",1
"Это уже не демократия.",1
"Прав тот, у кого связи.",1
"Хуже уже некуда.",1
"Скоро и дышать запретят.",1
"Цены растут, а власть молчит.",1
"Полиция работает не на людей.",1
"Выживаем вопреки системе.",1
"Им бы только воровать, а не страну строить.",1
"Закон не для всех, а для бедных.",1
"Мы им не граждане, а ресурс.",1
"Плевать им на наши жизни.",1
"Даже голосовать уже бессмысленно.",1
"Скоро будут камеры в каждом туалете.",1
"Это больше похоже на тюрьму, чем на страну.",1
"Где-то в Африке и то лучше.",1
"Им главное — рапорт, не результат.",1
"Если не их друг — ты враг.",1
"Не страна, а зона.",1
"Живём под гнётом бюрократии.",1
"Реформы только на словах.",1
"Они обложили нас со всех сторон.",1
"Бюджет пилят каждый день.",1
"Даже не скрывают своё презрение.",1
"Чувствуешь себя бесправным каждый день.",1
"Здесь мечты умирают.",1
"Нам не дают дышать.",1
"Они кормятся с наших костей.",1
"Нас принуждают к молчанию.",1
"Сегодня хорошая погода.",0
"Люблю гулять по городу вечером.",0
"Работаю над новым проектом.",0
"Вчера ел вкусную пасту.",0
"Прочитал отличную книгу.",0
"Сходил в кино с друзьями.",0
"У меня всё спокойно.",0
"Жизнь идёт своим чередом.",0
"Хороший день выдался.",0
"Послушал интересный подкаст.",0
"Успешно закрыл задачу на работе.",0
"Починил кран на кухне.",0
"Купил подарок маме.",0
"Позвонил другу — поболтали душевно.",0
"Встретил старого знакомого на улице.",0
"Начал утро с зарядки.",0
"В выходные хочу поехать в лес.",0
"Успешно защитил проект.",0
"Получил хорошие новости.",0
"Попробовал новое блюдо.",0
"Выспался впервые за неделю.",0
"Делал уборку и стало легче.",0
"Нашёл классную музыку.",0
"Сделал фото на закате.",0
"Удивительно тёплая весна.",0
"Решил пойти в спортзал.",0
"Давно не чувствовал себя так бодро.",0
"Жду встречи с друзьями.",0
"Купил интересную настольную игру.",0
"Порадовал себя кофе и круассаном.",0
"Читаю интересную статью.",0
"Сегодня был продуктивный день.",0
"Получил зарплату — можно радоваться.",0
"Наблюдал за дождём — красота.",0
"Нарисовал небольшую картину.",0
"Собрал новый стул из Икеи.",0
"Слушал музыку и мечтал.",0
"Обновил софт — теперь всё летает.",0
"Кошка сегодня особенно ласковая.",0
"Был в музее — вдохновился.",0
"Записался на курсы фотографии.",0
"Позавтракал на балконе — уютно.",0
"Сходил на пробежку.",0
"Настроение отличное.",0
"Вдохновился идеей для блога.",0
"Сделал резервную копию — молодец.",0
"Просто смотрел в окно и думал.",0
"Решил попробовать новое хобби.",0
"Провёл день без соцсетей — круто.",0
"Подписался на интересный канал.",0
"Опять эти дебильные реформы, от которых толку как с козла молока.",1
"Чиновники только и умеют воровать, а не работать.",1
"Это не правительство, а сборище клоунов.",1
"Как всегда, государство снова плюет на людей.",1
"Решения принимают идиоты без мозгов.",1
"Налоговая обдирает как липку, а услуг ноль.",1
"Бюрократы жрут в три горла, пока мы выживаем.",1
"Зачем им образование, если им важнее откаты?",1
"Банки сдирают проценты, а помощи никакой.",1
"Вся медицина развалена, спасибо реформаторам.",1
"Оппозиция как шавки, тявкают, а толку ноль.",1
"Судьи покупные, законы не работают.",1
"Скоро дышать запретят, если так пойдет.",1
"Государство только и делает, что кошмарит бизнес.",1
"Да им плевать на простых людей, лишь бы свои карманы набить.",1
"Учителя выживают, а министры на курортах.",1
"Политики врут, как дышат.",1
"Армия нищая, зато парады шикарные.",1
"У нас демократия только на бумаге.",1
"Опять цены выросли, а зарплаты как в 90-х.",1
"За кого не голосуй — всё равно выберут своих.",1
"Вся система прогнила насквозь.",1
"Это не страна, а цирк с уродами.",1
"Почему всегда воруют миллиардами и никто не сидит?",1
"Снова по телевизору лапшу вешают.",1
"Законы только для бедных, богатым всё можно.",1
"Чем больше работаешь — тем беднее.",1
"Коррупция у нас — это национальный спорт.",1
"Каждый день как выживание в джунглях.",1
"Где пенсии? Где медицина? Где справедливость?",1
"Это не власть, а оккупанты.",1
"Всё разворовали, остались только вывески.",1
"Очередной указ — и снова хуже, чем было.",1
"Сколько можно терпеть этот бардак?",1
"Вся страна держится на энтузиазме и выгорании.",1
"Куда ни плюнь — везде откат и тупость.",1
"Власти живут в параллельной реальности.",1
"Им важнее рейтинги, чем реальные проблемы.",1
"Зато на пропаганду деньги есть всегда.",1
"Кому нужны эти псевдовыборы?",1
"Надоело быть расходным материалом.",1
"Какой смысл платить налоги, если ничего не работает?",1
"Депутаты только законы для себя клепают.",1
"Никакого будущего — одна показуха.",1
"Каждое утро боишься новостей.",1
"Это не политика — это комедия абсурда.",1
"Снова придумали, как нас обобрать.",1
"Куда уходят наши деньги — в карманы приближённых?",1
"Мы для них — только статистика.",1
"Реформы ради реформ, а не ради людей.",1
"Сегодня в метро помог бабушке с сумками — мелочь, а приятно.",0
"Наконец-то солнечный день, настроение отличное!",0
"Прочитал интересную книгу про философию — задумался о многом.",0
"Сходил в парк, увидел белку — день удался.",0
"В школе дети сделали потрясающую стенгазету.",0
"Сегодня готовил борщ — получилось вкусно.",0
"Послушал старую песню и поймал ностальгию.",0
"Друзья позвали в поход — собираю рюкзак.",0
"Увидел в новостях, как спасли котёнка — день сразу стал лучше.",0
"Начал учить английский — непросто, но интересно.",0
"На работе хвалили за старание — очень приятно.",0
"Съездили на дачу — как же хорошо в тишине.",0
"Нашёл старый фотоальбом — столько воспоминаний.",0
"Позвонил маме — всегда поднимает настроение.",0
"Научился готовить лазанью — теперь готовлю часто.",0
"Пошёл в бассейн — тело благодарит.",0
"Посмотрел документалку о космосе — вдохновляет.",0
"Завёл блокнот и начал планировать день.",0
"На рынке купил свежие овощи — вкус детства.",0
"Собака обрадовалась, когда пришёл домой.",0
"Послушал концерт в парке — душевно.",0
"Случайный прохожий улыбнулся — как-то тепло стало.",0
"Устроили семейный вечер настольных игр.",0
"Выбрался на пробежку — взбодрило.",0
"В библиотеке подсказали отличную книгу.",0
"Нарисовал открытку другу — решил порадовать.",0
"Сегодня никто не раздражал — чудо.",0
"Погода наконец наладилась.",0
"Открыл для себя новую группу — классная музыка.",0
"Просто поел в тишине — кайф.",0
"Помог коллеге и стало приятно на душе.",0
"Встретил старого друга случайно — удивительно приятно.",0
"Посадил цветы на балконе — теперь красиво.",0
"Научился складывать рубашки по-новому.",0
"Попробовал медитацию — интересно.",0
"С утра чай с лимоном и без суеты — хорошо.",0
"Сыграли с племянником в шахматы.",0
"Наконец-то выспался.",0
"Поймал себя на мысли, что всё не так уж плохо.",0
"Сделал уборку под музыку — весело.",0
"Наблюдал за закатом.",0
"Купил хлеб у знакомой бабушки на рынке.",0
"Поставил новую полку сам — горжусь.",0
"Прочёл интересную статью про архитектуру.",0
"Заглянул в старый двор — всё на месте.",0
"Выпил кофе и просто сидел — кайф.",0
"Нашёл старую игрушку — вспомнил детство.",0
"День без соцсетей — мозги отдыхают.",0
"Рисовал без цели — просто в кайф.",0
"Смотрел на звёзды — что-то вечное в этом.",0
"Всё держится на соплях, как и всё в этой стране.",1
"Спасибо за нищету, чувствую себя настоящим патриотом.",1
"Работай до гроба, чтобы государство могло строить дворцы.",1
"У нас демократия: можешь молчать сколько хочешь.",1
"Отдых на Мальдивах — для избранных. Остальные — в коммуналке.",1
"Пенсия? Не смеши мои тапки.",1
"Главное — вовремя включить телевизор и не думать.",1
"Бюджет распилен, настроение приподнято.",1
"Каждый день в новостях — новый цирк с конями.",1
"Меня бы уже посадили за такие мысли, если бы я их озвучил.",1
"Повышение цен — ещё один способ нас мотивировать.",1
"Почему бы не отменить кислород? Это тоже роскошь.",1
"Видимо, здравый смысл давно покинул эти края.",1
"Мы не бедные — мы духовно богаты. Правда, с голодухи уже мутит.",1
"Очередной 'прорыв', но мы опять в жопе.",1
"Свобода слова заканчивается у экрана телевизора.",1
"Всё стабильно плохо, и это радует власть.",1
"Я люблю свою страну. А вот руководство — не очень.",1
"У нас всё для людей. Только не для таких, как ты.",1
"Очередной указ — как удар лопатой по спине.",1
"Стабильность — это когда хуже некуда, но может.",1
"Мечтаю стать чиновником, чтобы наконец ничего не делать.",1
"Главное — молчи и улыбайся. А то посадят.",1
"С нас делают 'патриотов', пока отбирают последнее.",1
"Пока одни делают ракеты, другие собирают на лечение смс-ками.",1
"Закон — что дышло. Особенно если ты у власти.",1
"Мне не жалко платить налоги. Жалко, что их тратят на чушь.",1
"Телевидение расскажет, как ты счастлив, даже если ты в жопе.",1
"Кто не доволен — тот враг. Удобно.",1
"Горд за родину, которой стыдно признаться за границей.",1
"У меня нет прав. Только обязанности и квитанции.",1
"Хорошо живём. Особенно если сравнивать с концлагерем.",1
"Честность — порок, если ты не депутат.",1
"Всё хорошо. Особенно у тех, кто наверху.",1
"Ещё один закон, который заставляет задуматься о чемодане.",1
"За всё хорошее — штраф. За плохое — медаль.",1
"Мы — народ терпеливый. Нас не победить, мы сами умрём.",1
"Гарант стабильности. В жопе.",1
"Надежда умирает последней. Но мы её уже хоронили.",1
"Лучше бы я не умел читать новости.",1
"Каждый день — как новая серия постапокалипсиса.",1
"Не вижу смысла бороться. Система сама нас переживёт.",1
"Тут или адаптируйся, или съезжай.",1
"У нас всегда виноват народ. Даже если он молчит.",1
"Моя страна любит своих граждан. варёными.",1
"Не работаешь — плохо. Работаешь — ещё хуже.",1
"Мечты сбываются. Но не у тебя.",1
"Думаешь, что у тебя депрессия? Нет, ты просто живёшь тут.",1
"Родина — мать. Но приёмная.",1
"Главное — стабильность. А то вдруг станет лучше.",1
"Сегодня пасмурно, но настроение хорошее.",0
"Утром выпил кофе и пошёл на работу.",0
"Обожаю гулять в парке осенью.",0
"Купил новую книгу, начинаю читать.",0
"Интересная лекция была в университете.",0
"Планирую отпуск в августе.",0
"Сделал уборку — сразу стало легче дышать.",0
"Очень вкусно приготовил пасту сегодня.",0
"Поехал к бабушке на выходные.",0
"Сходил в кино — фильм так себе.",0
"Хочу научиться играть на гитаре.",0
"Занимаюсь спортом по вечерам.",0
"Сегодня был хороший день.",0
"Люблю завтракать в кафе у дома.",0
"Погода радует — вышел прогуляться.",0
"Новый сериал захватил моё внимание.",0
"Рабочая неделя пролетела незаметно.",0
"Сделал много полезных дел.",0
"Встреча с друзьями прошла весело.",0
"Посмотрел старые фотографии — ностальгия.",0
"Осень — моё любимое время года.",0
"Зашёл в книжный магазин, купил пару новинок.",0
"Хочется научиться рисовать.",0
"День начался с тёплого душа и кофе.",0
"Слушал музыку весь вечер.",0
"Поехал на велике за город — красота!,0
"Попробовал новый рецепт — получилось вкусно.",0
"Давно не было таких спокойных выходных.",0
"Работаю над новым проектом — очень вдохновляет.",0
"Починил полку в комнате.",0
"Играл в настольные игры с друзьями.",0
"Сходил на пробежку утром — бодрит!",0
"Обновил плейлист, теперь слушаю на повторе.",0
"Обедал с коллегами, много смеялись.",0
"Пью чай и читаю новости.",0
"Собираюсь устроить мини-пикник.",0
"Снял красивые кадры на закате.",0
"Заснул под звук дождя.",0
"Почистил телефон от старых файлов.",0
"Начал изучать новый язык.",0
"Устроил себе выходной без гаджетов.",0
"Смотрю комедии — отличный способ расслабиться.",0
"Сделал зарядку, чувствую себя лучше.",0
"Переобул машину на зиму.",0
"Сходил в барбершоп — свежий вид.",0
"С утра позвонил родителям, всё хорошо.",0
"Сделал уютный уголок для чтения.",0
"Записался на онлайн-курс по дизайну.",0
"Купил новую кружку — мелочь, а приятно.",0
"Обычный день, но без стрессов. И то хорошо.",0
